country,year,rgdpo,rgdpe,cn,pop,emp,y_per_person,y_per_worker,rel_income_US,k_per_worker,ln_y,ln_k,ln_y_hat_Solow,lnZ_implied,lnZ_tilde,ln_y_hat_full
Aruba,2023,4892.4052734375,4693.76513671875,22741.716796875,0.107939,0.0486284680664539,45325.64942641214,100607.84285352597,0.6218631701883517,467662.62029470055,11.51898549437963,13.055502418122536,10.869967595399793,10.750727032508175,10.880957368362798,11.605805718282712
Angola,2023,227166.125,247271.1875,703745.125,36.749906,17.2608089447022,6181.4069674082975,13160.804092540708,0.08480825717053976,40771.27133812567,9.484998304269595,10.615732978504099,10.05671111552698,8.919630967152344,8.44118792874436,9.166036278664274
Albania,2023,44899.2890625,47182.19140625,262863.0,2.811655,1.16954946517944,15968.989460833565,38390.243764175684,0.21909286544125336,224755.77803771629,10.555558637653656,12.32276966073629,10.625723342937711,9.671953126112337,10.148224610976552,10.873072960896465
United Arab Emirates,2023,812833.625,903319.1875,5953913.5,10.642081,6.20071983337402,76379.19923744239,131086.97809972006,1.0479146261623333,960197.1480721256,11.783616336822407,13.774893904935142,11.10976475767066,10.787977552766039,11.600348855175405,12.325197205095318
Argentina,2023,1242508.5,1250172.125,4962359.5,45.538401,22.7903251647949,27284.85130604388,54519.12120671938,0.3743453065982321,217739.74105755845,10.90630676694834,12.291055780206754,10.615152049427865,10.213932260319133,10.116510730447017,10.84135908036693
Armenia,2023,61470.12890625,59457.52734375,257531.15625,2.943393,1.19669795036316,20884.10514880276,51366.4529028363,0.28652773868064096,215201.46848404597,10.846740571103268,12.279329931057108,10.611243433044649,10.130445891126348,10.10478488129737,10.829633231217283
Australia,2023,1701675.5,1663526.25,8094737.0,26.451124,13.7563667297363,64332.82381497285,123700.94033053014,0.8826396151190126,588435.6792046042,11.725622160053629,13.28522290354031,10.94654109053905,10.945821788310287,11.110677853780572,11.835526203700486
Austria,2023,573871.9375,575025.25,3247967.0,9.130429,4.69524145126343,62852.68058050723,122224.15896110695,0.8623322047285225,691757.1830360317,11.713612006352253,13.446990281456527,11.000463549844454,10.846922868800116,11.27244523169679,11.997293581616702
Azerbaijan,2023,210945.484375,215209.5625,521924.0,10.318207,5.02871227264404,20444.005860223584,41948.21117973553,0.28048962246483655,103788.79754947248,10.644191069263535,11.550113320474289,10.368171229517042,10.191229943658156,9.37556827071455,10.100416620634464
Burundi,2023,13563.0517578125,12653.373046875,29873.900390625,13.68945,5.94007635116577,990.7667406515601,2283.312697681181,0.013593216072040077,5029.211515902838,7.733382605035431,8.523018494524493,9.359139620867111,7.338564660290899,6.348473444764755,7.073321794684668
Belgium,2023,680784.25,723524.5625,3989255.5,11.712893,5.06240177154541,58122.638873248485,134478.51054148466,0.7974365271503208,788016.3764209081,11.809159692333212,13.577274150884104,11.043891506320314,10.925102463057765,11.402729101124367,12.12757745104428
Benin,2023,49002.3046875,47803.9296875,154330.5,14.111034,4.3740873336792,3472.6232455750583,11202.86380891312,0.047644027778776576,35282.90320398956,9.323924721822609,10.471153797097577,10.00851805505814,8.750310184185123,8.296608747337839,9.021457097257752
Burkina Faso,2023,54363.85546875,54271.640625,109766.9921875,23.025776,7.49433755874634,2360.999927592017,7253.990768710989,0.03239267210435777,14646.657069695955,8.889307047262907,9.591967402037866,9.715455923371568,8.537976869875425,7.417422352278129,8.142270702198042
Bangladesh,2023,1360665.75,1352598.25,5614778.5,171.46699,73.9222640991211,7935.438477108625,18406.710976486145,0.10887338605530969,75955.17491822544,9.820470604083303,11.23789864155828,10.264099669878373,9.111756585345814,9.063353591798542,9.788201941718455
Bulgaria,2023,191771.515625,208523.875,541700.625,6.795803,3.10234546661377,28219.110475244794,61815.009865525986,0.38716324469926383,174610.02677798798,11.031901492038621,12.070310347875006,10.541570238650614,10.512697064120427,9.895765298115268,10.620613648035182
